ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
43267,Bernhard Gruber,M,27,185,71,Austria,AUT,2010 Winter,2010,Winter,Vancouver,Nordic Combined,"Nordic Combined Men's Large Hill / 10 km, Individual",Bronze
43267,Bernhard Gruber,M,27,185,71,Austria,AUT,2010 Winter,2010,Winter,Vancouver,Nordic Combined,Nordic Combined Men's Team,Gold
43267,Bernhard Gruber,M,31,185,71,Austria,AUT,2014 Winter,2014,Winter,Sochi,Nordic Combined,"Nordic Combined Men's Large Hill / 10 km, Individual",NA
43267,Bernhard Gruber,M,31,185,71,Austria,AUT,2014 Winter,2014,Winter,Sochi,Nordic Combined,Nordic Combined Men's Team,Bronze
43270,Christoph Gruber,M,25,180,85,Austria,AUT,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Downhill,NA
43270,Christoph Gruber,M,25,180,85,Austria,AUT,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Super G,NA
43270,Christoph Gruber,M,25,180,85,Austria,AUT,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
43270,Christoph Gruber,M,29,180,85,Austria,AUT,2006 Winter,2006,Winter,Torino,Alpine Skiing,Alpine Skiing Men's Super G,NA
43272,Franz Gruber,M,24,NA,NA,Austria,AUT,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
43272,Franz Gruber,M,24,NA,NA,Austria,AUT,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing,Alpine Skiing Men's Slalom,NA
43278,Michael Gruber,M,22,182,67,Austria,AUT,2002 Winter,2002,Winter,Salt Lake City,Nordic Combined,Nordic Combined Men's Team,Bronze
43278,Michael Gruber,M,22,182,67,Austria,AUT,2002 Winter,2002,Winter,Salt Lake City,Nordic Combined,Nordic Combined Men's Sprint,NA
43278,Michael Gruber,M,26,182,67,Austria,AUT,2006 Winter,2006,Winter,Torino,Nordic Combined,Nordic Combined Men's Team,Gold
43278,Michael Gruber,M,26,182,67,Austria,AUT,2006 Winter,2006,Winter,Torino,Nordic Combined,Nordic Combined Men's Individual,NA
43278,Michael Gruber,M,26,182,67,Austria,AUT,2006 Winter,2006,Winter,Torino,Nordic Combined,Nordic Combined Men's Sprint,NA
43299,"Johann ""Hans"" Grugger",M,28,180,90,Austria,AUT,2010 Winter,2010,Winter,Vancouver,Alpine Skiing,Alpine Skiing Men's Downhill,NA
43334,Lukas Grner,M,24,177,80,Austria,AUT,2006 Winter,2006,Winter,Torino,Snowboarding,Snowboarding Men's Boardercross,NA
43334,Lukas Grner,M,28,177,80,Austria,AUT,2010 Winter,2010,Winter,Vancouver,Snowboarding,Snowboarding Men's Boardercross,NA
43409,Bernhard Gstrein,M,22,184,88,Austria,AUT,1988 Winter,1988,Winter,Calgary,Alpine Skiing,Alpine Skiing Men's Slalom,NA
43409,Bernhard Gstrein,M,22,184,88,Austria,AUT,1988 Winter,1988,Winter,Calgary,Alpine Skiing,Alpine Skiing Men's Combined,Silver
43409,Bernhard Gstrein,M,26,184,88,Austria,AUT,1992 Winter,1992,Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Slalom,NA
43409,Bernhard Gstrein,M,28,184,88,Austria,AUT,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
43409,Bernhard Gstrein,M,28,184,88,Austria,AUT,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Slalom,NA
43659,Matthias Guggenberger,M,25,180,80,Austria,AUT,2010 Winter,2010,Winter,Vancouver,Skeleton,Skeleton Men's Skeleton,NA
43659,Matthias Guggenberger,M,29,180,80,Austria,AUT,2014 Winter,2014,Winter,Sochi,Skeleton,Skeleton Men's Skeleton,NA
43854,Andreas Gumpold,M,22,179,70,Austria,AUT,1984 Winter,1984,Winter,Sarajevo,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,NA
43854,Andreas Gumpold,M,22,179,70,Austria,AUT,1984 Winter,1984,Winter,Sarajevo,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,NA
43937,Doris Gnther,F,23,165,58,Austria,AUT,2002 Winter,2002,Winter,Salt Lake City,Snowboarding,Snowboarding Women's Parallel Giant Slalom,NA
43937,Doris Gnther,F,27,165,58,Austria,AUT,2006 Winter,2006,Winter,Torino,Snowboarding,Snowboarding Women's Parallel Giant Slalom,NA
43937,Doris Gnther,F,27,165,58,Austria,AUT,2006 Winter,2006,Winter,Torino,Snowboarding,Snowboarding Women's Boardercross,NA
43937,Doris Gnther,F,31,165,58,Austria,AUT,2010 Winter,2010,Winter,Vancouver,Snowboarding,Snowboarding Women's Parallel Giant Slalom,NA
43950,Michael Gntner,M,26,199,109,Austria,AUT,1994 Winter,1994,Winter,Lillehammer,Ice Hockey,Ice Hockey Men's Ice Hockey,NA
